,"Rank in states & territories, 2020","Rank in states & territories, 2010",State,"Census population, April 1, 2020 [1][2]","Census population, April 1, 2010 [1][2]","Percent change, 2010–2020 [note 1]","Absolute change, 2010-2020","Total seats in the U.S. House of Representatives, 2023–2033",Census population per electoral vote [note 2],Census population per House seat,"Percent of the total U.S. population, 2020 [note 3]"
0,1.0,1.0,California,39538223,37253956,6.1%,+2284267,52,732189,760350,11.80%
1,2.0,2.0,Texas,29145505,25145561,15.9%,+3999944,38,728638,766987,8.70%
2,3.0,4.0,Florida,21538187,18801310,14.6%,+2736877,28,717940,769221,6.43%
3,4.0,3.0,New York,20201249,19378102,4.2%,+823147,26,721473,776971,6.03%
4,5.0,6.0,Pennsylvania,13002700,12702379,2.4%,+300321,17,684353,764865,3.88%
5,6.0,5.0,Illinois,12812508,12830632,−0.1%,"−18,124",17,674343,753677,3.82%
6,7.0,7.0,Ohio,11799448,11536504,2.3%,+262944,15,694085,786630,3.52%
7,8.0,9.0,Georgia,10711908,9687653,10.6%,+1024255,14,669494,765136,3.20%
8,9.0,10.0,North Carolina,10439388,9535483,9.5%,+903905,14,652462,745671,3.12%
9,10.0,8.0,Michigan,10077331,9883640,2.0%,+193691,13,671822,775179,3.01%
10,11.0,11.0,New Jersey,9288994,8791894,5.7%,+497100,12,663500,774083,2.77%
11,12.0,12.0,Virginia,8631393,8001024,7.9%,+630369,11,663953,784672,2.58%
12,13.0,13.0,Washington,7705281,6724540,14.6%,+980741,10,642107,770528,2.30%
13,14.0,16.0,Arizona,7151502,6392017,11.9%,+759485,9,650137,794611,2.13%
14,15.0,14.0,Massachusetts,7029917,6547629,7.4%,+482288,9,639083,781102,2.10%
15,16.0,17.0,Tennessee,6910840,6346105,8.9%,+564735,9,628258,767871,2.06%
16,17.0,15.0,Indiana,6785528,6483802,4.7%,+301726,9,616866,753948,2.03%
17,18.0,19.0,Maryland,6177224,5773552,7.0%,+403672,8,617722,772153,1.84%
18,19.0,18.0,Missouri,6154913,5988927,2.8%,+165986,8,615491,769364,1.84%
19,20.0,20.0,Wisconsin,5893718,5686986,3.6%,+206732,8,589372,736715,1.76%
20,21.0,22.0,Colorado,5773714,5029196,14.8%,+744518,8,577371,721714,1.72%
21,22.0,21.0,Minnesota,5706494,5303925,7.6%,+402569,8,570649,713312,1.70%
22,23.0,24.0,South Carolina,5118425,4625364,10.7%,+493061,7,568714,731204,1.53%
23,24.0,23.0,Alabama,5024279,4779736,5.1%,+244543,7,558253,717754,1.50%
24,25.0,25.0,Louisiana,4657757,4533372,2.7%,+124385,6,582220,776293,1.39%
25,26.0,26.0,Kentucky,4505836,4339367,3.8%,+166469,6,563230,750973,1.35%
26,27.0,27.0,Oregon,4237256,3831074,10.6%,+406182,6,529657,706209,1.27%
27,28.0,28.0,Oklahoma,3959353,3751351,5.5%,+208002,5,565622,791871,1.18%
28,29.0,30.0,Connecticut,3605944,3574097,0.9%,+31847,5,515135,721189,1.08%
29,30.0,29.0,Puerto Rico,3285874,3725789,−11.8%,"−439,915",1 (non-voting),—,—,0.98%
30,31.0,35.0,Utah,3271616,2763885,18.4%,+507731,4,545269,817904,0.98%
